id,TIERS,PLAYER NAME,TEAM,POS,photo
,1,Ja'Marr Chase,CIN,WR1,https://wp.theringer.com/wp-content/uploads/fantasy-football/2025/players/ja_marr_chase.png
,1,Bijan Robinson,ATL,RB1,https://wp.theringer.com/wp-content/uploads/fantasy-football/2025/players/bijan_robinson.png
,1,Saquon Barkley,PHI,RB2,https://wp.theringer.com/wp-content/uploads/fantasy-football/2025/players/saquon_barkley.png
,1,Justin Jefferson,MIN,WR2,https://wp.theringer.com/wp-content/uploads/fantasy-football/2025/players/justin_jefferson.png
,1,Jahmyr Gibbs,DET,RB3,https://wp.theringer.com/wp-content/uploads/fantasy-football/2025/players/jahmyr_gibbs.png
,1,CeeDee Lamb,DAL,WR3,https://wp.theringer.com/wp-content/uploads/fantasy-football/2025/players/ceedee_lamb.png
,2,Puka Nacua,LAR,WR4,https://wp.theringer.com/wp-content/uploads/fantasy-football/2025/players/puka_nacua.png
,2,Malik Nabers,NYG,WR5,https://wp.theringer.com/wp-content/uploads/fantasy-football/2025/players/malik_nabers.png
,2,Amon-Ra St. Brown,DET,WR6,https://wp.theringer.com/wp-content/uploads/fantasy-football/2025/players/amonra_st_brown.png
,2,Nico Collins,HOU,WR7,https://wp.theringer.com/wp-content/uploads/fantasy-football/2025/players/nico_collins.png
,2,Ashton Jeanty,LV,RB4,https://wp.theringer.com/wp-content/uploads/fantasy-football/2025/players/ashton_jeanty.png
,2,Derrick Henry,BAL,RB5,https://wp.theringer.com/wp-content/uploads/fantasy-football/2025/players/derrick_henry.png
,2,Christian McCaffrey,SF,RB6,https://wp.theringer.com/wp-content/uploads/fantasy-football/2025/players/christian_mccaffrey.png
,2,Brian Thomas Jr.,JAC,WR8,https://wp.theringer.com/wp-content/uploads/fantasy-football/2025/players/brian_thomas_jr.png
,2,De'Von Achane,MIA,RB7,https://wp.theringer.com/wp-content/uploads/fantasy-football/2025/players/de_von_achane.png
,3,Drake London,ATL,WR9,https://wp.theringer.com/wp-content/uploads/fantasy-football/2025/players/drake_london.png
,3,Brock Bowers,LV,TE1,https://wp.theringer.com/wp-content/uploads/fantasy-football/2025/players/brock_bowers.png
,3,A.J. Brown,PHI,WR10,https://wp.theringer.com/wp-content/uploads/fantasy-football/2025/players/aj_brown.png
,3,Josh Jacobs,GB,RB8,https://wp.theringer.com/wp-content/uploads/fantasy-football/2025/players/josh_jacobs.png
,3,Jonathan Taylor,IND,RB9,https://wp.theringer.com/wp-content/uploads/fantasy-football/2025/players/jonathan_taylor.png
,3,Bucky Irving,TB,RB10,https://wp.theringer.com/wp-content/uploads/fantasy-football/2025/players/bucky_irving.png
,3,Ladd McConkey,LAC,WR11,https://wp.theringer.com/wp-content/uploads/fantasy-football/2025/players/ladd_mcconkey.png
,3,Trey McBride,ARI,TE2,https://wp.theringer.com/wp-content/uploads/fantasy-football/2025/players/trey_mcbride.png
,3,Josh Allen,BUF,QB1,https://wp.theringer.com/wp-content/uploads/fantasy-football/2025/players/josh_allen.png
,3,Lamar Jackson,BAL,QB2,https://wp.theringer.com/wp-content/uploads/fantasy-football/2025/players/lamar_jackson.png
,4,Chase Brown,CIN,RB11,https://wp.theringer.com/wp-content/uploads/fantasy-football/2025/players/chase_brown.png
,4,Kyren Williams,LAR,RB12,https://wp.theringer.com/wp-content/uploads/fantasy-football/2025/players/kyren_williams.png
,4,Tee Higgins,CIN,WR12,https://wp.theringer.com/wp-content/uploads/fantasy-football/2025/players/tee_higgins.png
